County,Notes,Date_of_Exposure,Timeframe,Location_Name,Address,City,State,Zip_Code,Guidance,Reported_By,Source,Location_Type,Monitor_for_Symptoms_Until,column14,column15,ObjectId,Status,Score,Match_addr,Addr_type,geometry,OBJECTID
King,"Seattle & King County was notified of a confirmed measles case in a Canadian resident. The individual traveled through Seattle-Tacoma International Airport (SEA) and stayed overnight at a nearby hotel, on April 6 and 7, 2025, while infectious. The individual was likely exposed to measles while traveling abroad. The person’s vaccine status is unknown.",2025-04-06T04:00:00Z,5:45pm–10:00pm,"Seattle-Tacoma International Airport (Gate S10, Carousel 20, Gina Marie Hall)",17801 International Blvd,Seattle,WA,98158,"What to do if you were in a location of potential measles exposure
Most people in our area have immunity to measles through vaccination, so the risk to the general public is low. However, anyone who was in the locations of potential exposure to measles around the times listed should:

Find out if you have been vaccinated for measles or have had measles previously. Make sure you are up-to-date with the recommended number of measles (MMR) vaccinations.
Call a healthcare provider promptly if you develop an illness with fever or with an unexplained rash. To avoid possibly spreading measles to others, do not go to a clinic or hospital without calling first to tell them you want to be checked for measles after an exposure. It is also important to limit contact with others, especially those without known immunity.
If you were at the locations at the times listed above and are not immune to measles, the most likely time you would become sick would be between April 13, 2025 – April 28, 2025. People who are immuno-compromised may take longer to experience symptoms.",King County Public Health Department,https://kingcounty.gov/en/dept/dph/about-king-county/about-public-health/news/news-archive-2025/04-17-measles-exposure,Airport,2025-04-27T04:00:00Z,NA,NA,11,M,100,"17801 International Blvd, Seattle, Washington, 98158",PointAddress,"c(-13614618.7901, 6014782.7757)",11
King,"Seattle & King County was notified of a confirmed measles case in a Canadian resident. The individual traveled through Seattle-Tacoma International Airport (SEA) and stayed overnight at a nearby hotel, on April 6 and 7, 2025, while infectious. The individual was likely exposed to measles while traveling abroad. The person’s vaccine status is unknown.",2025-04-06T04:00:00Z,8:45pm–11:59pm,Comfort Suites Tukwila Airport,7200 Fun Center Way,Tukwila,WA,98188,"What to do if you were in a location of potential measles exposure
Most people in our area have immunity to measles through vaccination, so the risk to the general public is low. However, anyone who was in the locations of potential exposure to measles around the times listed should:

Find out if you have been vaccinated for measles or have had measles previously. Make sure you are up-to-date with the recommended number of measles (MMR) vaccinations.
Call a healthcare provider promptly if you develop an illness with fever or with an unexplained rash. To avoid possibly spreading measles to others, do not go to a clinic or hospital without calling first to tell them you want to be checked for measles after an exposure. It is also important to limit contact with others, especially those without known immunity.
If you were at the locations at the times listed above and are not immune to measles, the most likely time you would become sick would be between April 13, 2025 – April 28, 2025. People who are immuno-compromised may take longer to experience symptoms.",King County Public Health Department,https://kingcounty.gov/en/dept/dph/about-king-county/about-public-health/news/news-archive-2025/04-17-measles-exposure,Hotel,2025-04-27T04:00:00Z,NA,NA,12,M,100,"7200 Fun Center Way, Tukwila, Washington, 98188",PointAddress,"c(-13608273.7516, 6018445.448)",12
King,"Seattle & King County was notified of a confirmed measles case in a Canadian resident. The individual traveled through Seattle-Tacoma International Airport (SEA) and stayed overnight at a nearby hotel, on April 6 and 7, 2025, while infectious. The individual was likely exposed to measles while traveling abroad. The person’s vaccine status is unknown.",2025-04-07T04:00:00Z,12:00am–7:00am,Comfort Suites Tukwila Airport,7200 Fun Center Way,Tukwila,WA,98188,"What to do if you were in a location of potential measles exposure
Most people in our area have immunity to measles through vaccination, so the risk to the general public is low. However, anyone who was in the locations of potential exposure to measles around the times listed should:

Find out if you have been vaccinated for measles or have had measles previously. Make sure you are up-to-date with the recommended number of measles (MMR) vaccinations.
Call a healthcare provider promptly if you develop an illness with fever or with an unexplained rash. To avoid possibly spreading measles to others, do not go to a clinic or hospital without calling first to tell them you want to be checked for measles after an exposure. It is also important to limit contact with others, especially those without known immunity.
If you were at the locations at the times listed above and are not immune to measles, the most likely time you would become sick would be between April 13, 2025 – April 28, 2025. People who are immuno-compromised may take longer to experience symptoms.",King County Public Health Department,https://kingcounty.gov/en/dept/dph/about-king-county/about-public-health/news/news-archive-2025/04-17-measles-exposure,Hotel,2025-04-28T04:00:00Z,NA,NA,13,M,100,"7200 Fun Center Way, Tukwila, Washington, 98188",PointAddress,"c(-13608273.7516, 6018445.448)",13
King,"Seattle & King County was notified of a confirmed measles case in a Canadian resident. The individual traveled through Seattle-Tacoma International Airport (SEA) and stayed overnight at a nearby hotel, on April 6 and 7, 2025, while infectious. The individual was likely exposed to measles while traveling abroad. The person’s vaccine status is unknown.",2025-04-07T04:00:00Z,4:45am–7:30am,"Seattle-Tacoma International Airport (Gate S1, S Concourse)",17801 International Blvd,Seattle,WA,98158,"What to do if you were in a location of potential measles exposure
Most people in our area have immunity to measles through vaccination, so the risk to the general public is low. However, anyone who was in the locations of potential exposure to measles around the times listed should:

Find out if you have been vaccinated for measles or have had measles previously. Make sure you are up-to-date with the recommended number of measles (MMR) vaccinations.
Call a healthcare provider promptly if you develop an illness with fever or with an unexplained rash. To avoid possibly spreading measles to others, do not go to a clinic or hospital without calling first to tell them you want to be checked for measles after an exposure. It is also important to limit contact with others, especially those without known immunity.
If you were at the locations at the times listed above and are not immune to measles, the most likely time you would become sick would be between April 13, 2025 – April 28, 2025. People who are immuno-compromised may take longer to experience symptoms.",King County Public Health Department,https://kingcounty.gov/en/dept/dph/about-king-county/about-public-health/news/news-archive-2025/04-17-measles-exposure,Airport,2025-04-28T04:00:00Z,NA,NA,14,M,100,"17801 International Blvd, Seattle, Washington, 98158",PointAddress,"c(-13614618.7901, 6014782.7757)",14
El Paso,NA,2025-04-05T04:00:00Z,11:00am–9:00pm,Jared Jewelers,"8889 Gateway Blvd, Space 3100",El Paso,TX,79925,"To schedule an appointment, call (915) 212-6555. For additional information on measles symptoms, vaccination, and potential exposure, the City of El Paso has activated a Measles Hotline at (915) 212-HELP (4357).

Residents can also call 2-1-1 or visit EPHealth.com under the Vaccination & Immunizations tab.",Local News,https://www.ktsm.com/local/el-paso-news/city-confirms-5-additonal-measles-cases-launches-dashboard/,Retail Store,2025-04-26T04:00:00Z,NA,NA,15,M,99.35,"8889 Gateway Blvd W, Ste 3100, El Paso, Texas, 79925",Subaddress,"c(-11841205.1808, 3733211.7474)",15
El Paso,NA,2025-04-06T04:00:00Z,12:00pm–9:00pm,Jared Jewelers,"8889 Gateway Blvd, Space 3100",El Paso,TX,79925,"To schedule an appointment, call (915) 212-6555. For additional information on measles symptoms, vaccination, and potential exposure, the City of El Paso has activated a Measles Hotline at (915) 212-HELP (4357).

Residents can also call 2-1-1 or visit EPHealth.com under the Vaccination & Immunizations tab.",Local News,https://www.ktsm.com/local/el-paso-news/city-confirms-5-additonal-measles-cases-launches-dashboard/,Retail Store,2025-04-27T04:00:00Z,NA,NA,16,M,99.35,"8889 Gateway Blvd W, Ste 3100, El Paso, Texas, 79925",Subaddress,"c(-11841205.1808, 3733211.7474)",16
El Paso,NA,2025-04-07T04:00:00Z,11:00am–9:15pm,Jared Jewelers,"8889 Gateway Blvd, Space 3100",El Paso,TX,79925,"To schedule an appointment, call (915) 212-6555. For additional information on measles symptoms, vaccination, and potential exposure, the City of El Paso has activated a Measles Hotline at (915) 212-HELP (4357).

Residents can also call 2-1-1 or visit EPHealth.com under the Vaccination & Immunizations tab.",Local News,https://www.ktsm.com/local/el-paso-news/city-confirms-5-additonal-measles-cases-launches-dashboard/,Retail Store,2025-04-28T04:00:00Z,NA,NA,17,M,99.35,"8889 Gateway Blvd W, Ste 3100, El Paso, Texas, 79925",Subaddress,"c(-11841205.1808, 3733211.7474)",17
El Paso,NA,2025-04-09T04:00:00Z,1:00pm–5:00pm,Chuze Fitness,1430 Lee Trevino Dr,El Paso,TX,79936,"To schedule an appointment, call (915) 212-6555. For additional information on measles symptoms, vaccination, and potential exposure, the City of El Paso has activated a Measles Hotline at (915) 212-HELP (4357).

Residents can also call 2-1-1 or visit EPHealth.com under the Vaccination & Immunizations tab.",Local News,https://www.ktsm.com/local/el-paso-news/city-confirms-5-additonal-measles-cases-launches-dashboard/,Fitness Center,2025-04-30T04:00:00Z,NA,NA,18,M,99.35,"1430 N Lee Trevino Dr, El Paso, Texas, 79936",PointAddress,"c(-11835168.7736, 3730043.3097)",18
El Paso,NA,2025-04-10T04:00:00Z,1:30pm–5:35pm,El Paso International Airport,6701 Convair Rd,El Paso,TX,79925,"To schedule an appointment, call (915) 212-6555. For additional information on measles symptoms, vaccination, and potential exposure, the City of El Paso has activated a Measles Hotline at (915) 212-HELP (4357).

Residents can also call 2-1-1 or visit EPHealth.com under the Vaccination & Immunizations tab.",Local News,https://www.ktsm.com/local/el-paso-news/city-confirms-5-additonal-measles-cases-launches-dashboard/,Airport,2025-05-01T04:00:00Z,NA,NA,19,M,100,"6701 Convair Rd, El Paso, Texas, 79925",PointAddress,"c(-11843920.4868, 3737031.3042)",19
Collin,Collin County Health Care Services has been notified that an individual who spent time in Collin County on April 10 and April 11 has tested positive for measles. This individual visited three shopping venues while infectious. ,2025-04-10T04:00:00Z,Unknown,Walmart,6001 N. Central Expressway,Plano,TX,75023,"If you were at any of these locations during the specified dates and are not vaccinated against measles or are unsure of your immunity, you may be at risk of contracting measles. What You Should Do:  1. If you were at one of the venues on the dates and times listed above and are:  • Unvaccinated and pregnant; or • Immunocompromised (receiving treatment that would result in immune system suppression, or have an immune system disease),  It is recommended that you contact your health-care provider immediately to discuss the possible exposure. 2. Anyone who was at the venues on the dates listed above should monitor themselves for measles symptoms through April 20, 2025. Those symptoms include:  • Fever • Dry cough • Runny nose • Sore throat • Inflamed eyes (conjunctivitis) • Koplik’s spots: Small white spots with bluish-white centers found inside the mouth • A skin rash made up of large, flat blotches 3. If you develop symptoms of measles:  • Stay home and away from others. • Contact your healthcare provider for guidance. • Call before visiting a clinic or hospital to prevent possible exposure to others. Collin County Health Care Services emphasizes that the most effective way to prevent measles is through vaccination with the measles, mumps, and rubella (MMR) vaccine. For more information on measles, including symptoms, prevention, and treatment, please visit the CDC website: https://www.cdc.gov/measles.  Collin County Health Care Services will continue to monitor the situation and provide further updates as necessary.  ",Collin County Health Care Services,https://www.collincountytx.gov/Services/Health-Care-Services/Lists/DepartmentNews/Attachments/20/Press%20Release%20Measles%20-%20Public%20Exposure%20(4-17-25).pdf,Retail Store,2025-05-01T04:00:00Z,NA,NA,20,M,100,"6001 N Central Expy, Plano, Texas, 75023",PointAddress,"c(-10764388.5978, 3902762.49590001)",20
Collin,Collin County Health Care Services has been notified that an individual who spent time in Collin County on April 10 and April 11 has tested positive for measles. This individual visited three shopping venues while infectious. ,2025-04-11T04:00:00Z,9:00pm–11:59pm,Walmart,6001 N. Central Expressway,Plano,TX,75023,"If you were at any of these locations during the specified dates and are not vaccinated against measles or are unsure of your immunity, you may be at risk of contracting measles. What You Should Do:  1. If you were at one of the venues on the dates and times listed above and are:  • Unvaccinated and pregnant; or • Immunocompromised (receiving treatment that would result in immune system suppression, or have an immune system disease),  It is recommended that you contact your health-care provider immediately to discuss the possible exposure. 2. Anyone who was at the venues on the dates listed above should monitor themselves for measles symptoms through April 20, 2025. Those symptoms include:  • Fever • Dry cough • Runny nose • Sore throat • Inflamed eyes (conjunctivitis) • Koplik’s spots: Small white spots with bluish-white centers found inside the mouth • A skin rash made up of large, flat blotches 3. If you develop symptoms of measles:  • Stay home and away from others. • Contact your healthcare provider for guidance. • Call before visiting a clinic or hospital to prevent possible exposure to others. Collin County Health Care Services emphasizes that the most effective way to prevent measles is through vaccination with the measles, mumps, and rubella (MMR) vaccine. For more information on measles, including symptoms, prevention, and treatment, please visit the CDC website: https://www.cdc.gov/measles.  Collin County Health Care Services will continue to monitor the situation and provide further updates as necessary.  ",Collin County Health Care Services,https://www.collincountytx.gov/Services/Health-Care-Services/Lists/DepartmentNews/Attachments/20/Press%20Release%20Measles%20-%20Public%20Exposure%20(4-17-25).pdf,Retail Store,2025-05-02T04:00:00Z,NA,NA,21,M,100,"6001 N Central Expy, Plano, Texas, 75023",PointAddress,"c(-10764388.5978, 3902762.49590001)",21
Collin,Collin County Health Care Services has been notified that an individual who spent time in Collin County on April 10 and April 11 has tested positive for measles. This individual visited three shopping venues while infectious. ,2025-04-12T04:00:00Z,12:00 am–1:00am,Walmart,6001 N. Central Expressway,Plano,TX,75023,"If you were at any of these locations during the specified dates and are not vaccinated against measles or are unsure of your immunity, you may be at risk of contracting measles. What You Should Do:  1. If you were at one of the venues on the dates and times listed above and are:  • Unvaccinated and pregnant; or • Immunocompromised (receiving treatment that would result in immune system suppression, or have an immune system disease),  It is recommended that you contact your health-care provider immediately to discuss the possible exposure. 2. Anyone who was at the venues on the dates listed above should monitor themselves for measles symptoms through April 20, 2025. Those symptoms include:  • Fever • Dry cough • Runny nose • Sore throat • Inflamed eyes (conjunctivitis) • Koplik’s spots: Small white spots with bluish-white centers found inside the mouth • A skin rash made up of large, flat blotches 3. If you develop symptoms of measles:  • Stay home and away from others. • Contact your healthcare provider for guidance. • Call before visiting a clinic or hospital to prevent possible exposure to others. Collin County Health Care Services emphasizes that the most effective way to prevent measles is through vaccination with the measles, mumps, and rubella (MMR) vaccine. For more information on measles, including symptoms, prevention, and treatment, please visit the CDC website: https://www.cdc.gov/measles.  Collin County Health Care Services will continue to monitor the situation and provide further updates as necessary.  ",Collin County Health Care Services,https://www.collincountytx.gov/Services/Health-Care-Services/Lists/DepartmentNews/Attachments/20/Press%20Release%20Measles%20-%20Public%20Exposure%20(4-17-25).pdf,Retail Store,2025-05-03T04:00:00Z,NA,NA,22,M,100,"6001 N Central Expy, Plano, Texas, 75023",PointAddress,"c(-10764388.5978, 3902762.49590001)",22
Collin,Collin County Health Care Services has been notified that an individual who spent time in Collin County on April 10 and April 11 has tested positive for measles. This individual visited three shopping venues while infectious. ,2025-04-11T04:00:00Z,5:00pm–10:00pm,Ross Dress For Less,3300 N. Central Expressway,Plano,TX,75074,"If you were at any of these locations during the specified dates and are not vaccinated against measles or are unsure of your immunity, you may be at risk of contracting measles. What You Should Do:  1. If you were at one of the venues on the dates and times listed above and are:  • Unvaccinated and pregnant; or • Immunocompromised (receiving treatment that would result in immune system suppression, or have an immune system disease),  It is recommended that you contact your health-care provider immediately to discuss the possible exposure. 2. Anyone who was at the venues on the dates listed above should monitor themselves for measles symptoms through April 20, 2025. Those symptoms include:  • Fever • Dry cough • Runny nose • Sore throat • Inflamed eyes (conjunctivitis) • Koplik’s spots: Small white spots with bluish-white centers found inside the mouth • A skin rash made up of large, flat blotches 3. If you develop symptoms of measles:  • Stay home and away from others. • Contact your healthcare provider for guidance. • Call before visiting a clinic or hospital to prevent possible exposure to others. Collin County Health Care Services emphasizes that the most effective way to prevent measles is through vaccination with the measles, mumps, and rubella (MMR) vaccine. For more information on measles, including symptoms, prevention, and treatment, please visit the CDC website: https://www.cdc.gov/measles.  Collin County Health Care Services will continue to monitor the situation and provide further updates as necessary.  ",Collin County Health Care Services,https://www.collincountytx.gov/Services/Health-Care-Services/Lists/DepartmentNews/Attachments/20/Press%20Release%20Measles%20-%20Public%20Exposure%20(4-17-25).pdf,Retail Store,2025-05-02T04:00:00Z,NA,NA,23,M,100,"3300 N Central Expy, Plano, Texas, 75074",PointAddress,"c(-10764733.7961, 3900404.4227)",23
